# Copyright (C) 1991-2006 Altera Corporation
# Your use of Altera Corporation's design tools, logic functions 
# and other software and tools, and its AMPP partner logic 
# functions, and any output files any of the foregoing 
# (including device programming or simulation files), and any 
# associated documentation or information are expressly subject 
# to the terms and conditions of the Altera Program License 
# Subscription Agreement, Altera MegaCore Function License 
# Agreement, or other applicable license agreement, including, 
# without limitation, that your use is for the sole purpose of 
# programming logic devices manufactured by Altera and sold by 
# Altera or its authorized distributors.  Please refer to the 
# applicable agreement for further details.

# Quartus II Version 6.0 Build 202 06/20/2006 Service Pack 1 SJ Full Version
# File: C:\DE1\DE1_TOP\DE1_TOP.csv
# Generated on: Wed Sep 27 14:39:29 2006

# Note: The column header names should not be changed if you wish to import this .csv file into the Quartus II software.

To,Direction,Location,I/O Bank,VREF Group,Fitter Location,I/O Standard,Reserved,Current Strength,Differential Pair
FL_ADDRESS[18],Output,PIN_U14,7,B7_N0,PIN_G5,,,,
FL_ADDRESS[17],Output,PIN_AA20,7,B7_N0,PIN_A16,,,,
FL_ADDRESS[16],Output,PIN_AB12,7,B7_N1,PIN_R6,,,,
FL_ADDRESS[15],Output,PIN_AA12,7,B7_N1,PIN_A5,,,,
FL_ADDRESS[14],Output,PIN_AB13,7,B7_N1,PIN_U18,,,,
FL_ADDRESS[13],Output,PIN_AA13,7,B7_N1,PIN_D14,,,,
FL_ADDRESS[12],Output,PIN_AB14,7,B7_N1,PIN_H19,,,,
FL_ADDRESS[11],Output,PIN_T12,7,B7_N1,PIN_L18,,,,
FL_ADDRESS[10],Output,PIN_R12,7,B7_N1,PIN_J22,,,,
FL_ADDRESS[9],Output,PIN_Y13,7,B7_N1,PIN_Y10,,,,
FL_ADDRESS[8],Output,PIN_R14,7,B7_N0,PIN_J21,,,,
FL_ADDRESS[7],Output,PIN_W15,7,B7_N0,PIN_B14,,,,
FL_ADDRESS[6],Output,PIN_V15,7,B7_N0,PIN_A10,,,,
FL_ADDRESS[5],Output,PIN_U15,7,B7_N0,PIN_J18,,,,
FL_ADDRESS[4],Output,PIN_T15,7,B7_N0,PIN_C10,,,,
FL_ADDRESS[3],Output,PIN_R15,7,B7_N0,PIN_V11,,,,
FL_ADDRESS[2],Output,PIN_Y16,7,B7_N0,PIN_Y14,,,,
FL_ADDRESS[1],Output,PIN_AA14,7,B7_N1,PIN_AB9,,,,
FL_ADDRESS[0],Output,PIN_AB20,7,B7_N0,PIN_J19,,,,
FL_CE_N,Output,PIN_AB15,7,B7_N1,PIN_AA3,,,,
FL_DATA[7],Input,PIN_AA19,7,B7_N0,PIN_F15,,,,
FL_DATA[6],Input,PIN_AB19,7,B7_N0,PIN_E21,,,,
FL_DATA[5],Input,PIN_AA18,7,B7_N0,PIN_E14,,,,
FL_DATA[4],Input,PIN_AB18,7,B7_N0,PIN_G15,,,,
FL_DATA[3],Input,PIN_AA17,7,B7_N1,PIN_B17,,,,
FL_DATA[2],Input,PIN_AB17,7,B7_N1,PIN_H16,,,,
FL_DATA[1],Input,PIN_AA16,7,B7_N1,PIN_C14,,,,
FL_DATA[0],Input,PIN_AB16,7,B7_N1,PIN_K20,,,,
FL_OE_N,Output,PIN_AA15,7,B7_N1,PIN_F11,,,,
FL_RESET_N,Output,PIN_W14,7,B7_N1,PIN_K21,,,,
FL_WE_N,Output,PIN_Y14,7,B7_N0,PIN_D3,,,,

I2C_SCLK,Output,PIN_A3,3,B3_N1,PIN_D11,3.3-V LVTTL,,,
I2C_SDAT,Bidir,PIN_B3,3,B3_N1,PIN_B11,3.3-V LVTTL,,,
LED[9],Output,PIN_R17,6,B6_N1,PIN_G12,3.3-V LVTTL,,,
LED[8],Output,PIN_R18,6,B6_N0,PIN_C13,3.3-V LVTTL,,,
LED[7],Output,PIN_U18,6,B6_N1,PIN_AB15,3.3-V LVTTL,,,
LED[6],Output,PIN_Y18,6,B6_N1,PIN_F13,3.3-V LVTTL,,,
LED[5],Output,PIN_V19,6,B6_N1,PIN_F14,3.3-V LVTTL,,,
LED[4],Output,PIN_T18,6,B6_N1,PIN_V14,3.3-V LVTTL,,,
LED[3],Output,PIN_Y19,6,B6_N1,PIN_T16,3.3-V LVTTL,,,
LED[2],Output,PIN_U19,6,B6_N1,PIN_A15,3.3-V LVTTL,,,
LED[1],Output,PIN_R19,6,B6_N0,PIN_E15,3.3-V LVTTL,,,
LED[0],Output,PIN_R20,6,B6_N0,PIN_F21,3.3-V LVTTL,,,
LEDG[7],Output,PIN_Y21,6,B6_N1,PIN_D2,3.3-V LVTTL,,,
LEDG[6],Output,PIN_Y22,6,B6_N1,PIN_Y18,3.3-V LVTTL,,,
LEDG[5],Output,PIN_W21,6,B6_N1,PIN_AB3,3.3-V LVTTL,,,
LEDG[4],Output,PIN_W22,6,B6_N1,PIN_G11,3.3-V LVTTL,,,
LEDG[3],Output,PIN_V21,6,B6_N1,PIN_A11,3.3-V LVTTL,,,
LEDG[2],Output,PIN_V22,6,B6_N1,PIN_C17,3.3-V LVTTL,,,
LEDG[1],Output,PIN_U21,6,B6_N1,PIN_T6,3.3-V LVTTL,,,
LEDG[0],Output,PIN_U22,6,B6_N1,PIN_R1,3.3-V LVTTL,,,
PS2_KBCLK,Input,PIN_H15,4,B4_N0,PIN_H13,3.3-V LVTTL,,,
PS2_KBDAT,Input,PIN_J14,4,B4_N0,PIN_A17,3.3-V LVTTL,,,

RAM_ADDRESS[17],Output,PIN_Y5,8,B8_N1,PIN_U15,,,,
RAM_ADDRESS[16],Output,PIN_Y6,8,B8_N1,PIN_V21,,,,
RAM_ADDRESS[15],Output,PIN_T7,8,B8_N1,PIN_U20,,,,
RAM_ADDRESS[14],Output,PIN_R10,8,B8_N0,PIN_Y17,,,,
RAM_ADDRESS[13],Output,PIN_U10,8,B8_N0,PIN_F22,,,,
RAM_ADDRESS[12],Output,PIN_Y10,8,B8_N0,PIN_H17,,,,
RAM_ADDRESS[11],Output,PIN_T11,8,B8_N0,PIN_U19,,,,
RAM_ADDRESS[10],Output,PIN_R11,8,B8_N0,PIN_W21,,,,
RAM_ADDRESS[9],Output,PIN_W11,8,B8_N0,PIN_N15,,,,
RAM_ADDRESS[8],Output,PIN_V11,8,B8_N0,PIN_V20,,,,
RAM_ADDRESS[7],Output,PIN_AB11,8,B8_N0,PIN_N22,,,,
RAM_ADDRESS[6],Output,PIN_AA11,8,B8_N0,PIN_P15,,,,
RAM_ADDRESS[5],Output,PIN_AB10,8,B8_N0,PIN_J20,,,,
RAM_ADDRESS[4],Output,PIN_AA5,8,B8_N1,PIN_J15,,,,
RAM_ADDRESS[3],Output,PIN_AB4,8,B8_N1,PIN_Y20,,,,
RAM_ADDRESS[2],Output,PIN_AA4,8,B8_N1,PIN_Y21,,,,
RAM_ADDRESS[1],Output,PIN_AB3,8,B8_N1,PIN_T18,,,,
RAM_ADDRESS[0],Output,PIN_AA3,8,B8_N1,PIN_Y22,,,,
RAM_BE0_N,Output,PIN_Y7,8,B8_N1,PIN_R17,,,,
RAM_BE1_N,Output,PIN_W7,8,B8_N1,PIN_W22,,,,
RAM_CS_N,Output,PIN_AB5,8,B8_N1,PIN_J17,,,,
RAM_DATA[15],Bidir,PIN_U8,8,B8_N1,PIN_R21,,,,
RAM_DATA[14],Bidir,PIN_V8,8,B8_N1,PIN_R22,,,,
RAM_DATA[13],Bidir,PIN_W8,8,B8_N1,PIN_R20,,,,
RAM_DATA[12],Bidir,PIN_R9,8,B8_N0,PIN_R18,,,,
RAM_DATA[11],Bidir,PIN_U9,8,B8_N0,PIN_U21,,,,
RAM_DATA[10],Bidir,PIN_V9,8,B8_N1,PIN_P17,,,,
RAM_DATA[9],Bidir,PIN_W9,8,B8_N0,PIN_U22,,,,
RAM_DATA[8],Bidir,PIN_Y9,8,B8_N0,PIN_R19,,,,
RAM_DATA[7],Bidir,PIN_AB9,8,B8_N0,PIN_N21,,,,
RAM_DATA[6],Bidir,PIN_AA9,8,B8_N0,PIN_M18,,,,
RAM_DATA[5],Bidir,PIN_AB8,8,B8_N0,PIN_T22,,,,
RAM_DATA[4],Bidir,PIN_AA8,8,B8_N0,PIN_T21,,,,
RAM_DATA[3],Bidir,PIN_AB7,8,B8_N1,PIN_L19,,,,
RAM_DATA[2],Bidir,PIN_AA7,8,B8_N1,PIN_M19,,,,
RAM_DATA[1],Bidir,PIN_AB6,8,B8_N1,PIN_K22,,,,
RAM_DATA[0],Bidir,PIN_AA6,8,B8_N1,PIN_P18,,,,
RAM_OE_N,Output,PIN_T8,8,B8_N1,PIN_H1,,,,
RAM_WE_N,Output,PIN_AA10,8,B8_N0,PIN_V22,,,,
SWITCH[9],Input,PIN_L2,2,B2_N1,PIN_Y7,3.3-V LVTTL,,,
SWITCH[8],Input,PIN_M1,1,B1_N0,PIN_B6,3.3-V LVTTL,,,
SWITCH[7],Input,PIN_M2,1,B1_N0,PIN_A8,3.3-V LVTTL,,,
SWITCH[6],Input,PIN_U11,8,B8_N0,PIN_D22,3.3-V LVTTL,,,
SWITCH[5],Input,PIN_U12,8,B8_N0,PIN_E9,3.3-V LVTTL,,,
SWITCH[4],Input,PIN_W12,7,B7_N1,PIN_B13,3.3-V LVTTL,,,
SWITCH[3],Input,PIN_V12,7,B7_N1,PIN_B15,3.3-V LVTTL,,,
SWITCH[2],Input,PIN_M22,6,B6_N0,PIN_AA14,3.3-V LVTTL,,,
SWITCH[1],Input,PIN_L21,5,B5_N1,PIN_B16,3.3-V LVTTL,,,
SWITCH[0],Input,PIN_L22,5,B5_N1,PIN_H18,3.3-V LVTTL,,,
UART_RXD,Input,PIN_F14,4,B4_N1,PIN_G22,3.3-V LVTTL,,,
UART_TXD,Output,PIN_G12,4,B4_N1,PIN_G21,3.3-V LVTTL,,,
VGA_BLUE[3],Output,PIN_B10,3,B3_N0,PIN_Y9,3.3-V LVTTL,,,
VGA_BLUE[2],Output,PIN_A10,3,B3_N0,PIN_R10,3.3-V LVTTL,,,
VGA_BLUE[1],Output,PIN_D11,3,B3_N0,PIN_AB8,3.3-V LVTTL,,,
VGA_BLUE[0],Output,PIN_A9,3,B3_N0,PIN_AB7,3.3-V LVTTL,,,
VGA_GREEN[3],Output,PIN_A8,3,B3_N0,PIN_AA8,3.3-V LVTTL,,,
VGA_GREEN[2],Output,PIN_B9,3,B3_N0,PIN_T11,3.3-V LVTTL,,,
VGA_GREEN[1],Output,PIN_C10,3,B3_N0,PIN_AA9,3.3-V LVTTL,,,
VGA_GREEN[0],Output,PIN_B8,3,B3_N0,PIN_R11,3.3-V LVTTL,,,
VGA_HS,Output,PIN_A11,3,B3_N0,PIN_W11,3.3-V LVTTL,,,
VGA_RED[3],Output,PIN_B7,3,B3_N1,PIN_R9,3.3-V LVTTL,,,
VGA_RED[2],Output,PIN_A7,3,B3_N1,PIN_U9,3.3-V LVTTL,,,
VGA_RED[1],Output,PIN_C9,3,B3_N1,PIN_U10,3.3-V LVTTL,,,
VGA_RED[0],Output,PIN_D9,3,B3_N0,PIN_W9,3.3-V LVTTL,,,
VGA_VS,Output,PIN_B11,3,B3_N0,PIN_AA7,3.3-V LVTTL,,,

HEX0_D[6],Output,PIN_E2,2,B2_N1,PIN_E2,3.3-V LVTTL,,,
HEX0_D[5],Output,PIN_F1,2,B2_N1,PIN_F1,3.3-V LVTTL,,,
HEX0_D[4],Output,PIN_F2,2,B2_N1,PIN_F2,3.3-V LVTTL,,,
HEX0_D[3],Output,PIN_H1,2,B2_N1,PIN_H1,3.3-V LVTTL,,,
HEX0_D[2],Output,PIN_H2,2,B2_N1,PIN_H2,3.3-V LVTTL,,,
HEX0_D[1],Output,PIN_J1,2,B2_N1,PIN_J1,3.3-V LVTTL,,,
HEX0_D[0],Output,PIN_J2,2,B2_N1,PIN_J2,3.3-V LVTTL,,,
HEX1_D[6],Output,PIN_D1,2,B2_N0,PIN_D1,3.3-V LVTTL,,,
HEX1_D[5],Output,PIN_D2,2,B2_N0,PIN_D2,3.3-V LVTTL,,,
HEX1_D[4],Output,PIN_G3,2,B2_N0,PIN_G3,3.3-V LVTTL,,,
HEX1_D[3],Output,PIN_H4,2,B2_N0,PIN_H4,3.3-V LVTTL,,,
HEX1_D[2],Output,PIN_H5,2,B2_N0,PIN_H5,3.3-V LVTTL,,,
HEX1_D[1],Output,PIN_H6,2,B2_N0,PIN_H6,3.3-V LVTTL,,,
HEX1_D[0],Output,PIN_E1,2,B2_N1,PIN_E1,3.3-V LVTTL,,,
HEX2_D[6],Output,PIN_D3,2,B2_N0,PIN_D3,3.3-V LVTTL,,,
HEX2_D[5],Output,PIN_E4,2,B2_N0,PIN_E4,3.3-V LVTTL,,,
HEX2_D[4],Output,PIN_E3,2,B2_N0,PIN_E3,3.3-V LVTTL,,,
HEX2_D[3],Output,PIN_C1,2,B2_N0,PIN_C1,3.3-V LVTTL,,,
HEX2_D[2],Output,PIN_C2,2,B2_N0,PIN_C2,3.3-V LVTTL,,,
HEX2_D[1],Output,PIN_G6,2,B2_N0,PIN_G6,3.3-V LVTTL,,,
HEX2_D[0],Output,PIN_G5,2,B2_N0,PIN_G5,3.3-V LVTTL,,,
HEX3_D[6],Output,PIN_D4,2,B2_N0,PIN_D4,3.3-V LVTTL,,,
HEX3_D[5],Output,PIN_F3,2,B2_N0,PIN_F3,3.3-V LVTTL,,,
HEX3_D[4],Output,PIN_L8,2,B2_N1,PIN_L8,3.3-V LVTTL,,,
HEX3_D[3],Output,PIN_J4,2,B2_N1,PIN_J4,3.3-V LVTTL,,,
HEX3_D[2],Output,PIN_D6,2,B2_N0,PIN_D6,3.3-V LVTTL,,,
HEX3_D[1],Output,PIN_D5,2,B2_N0,PIN_D5,3.3-V LVTTL,,,
HEX3_D[0],Output,PIN_F4,2,B2_N0,PIN_F4,3.3-V LVTTL,,,

